timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733925131398,1497,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-5,,false,,14450,660,2,2,null,568,3329,14
1733925137224,676,Search Flights,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,275,0,0
1733925137224,275,Search Flights-0,302,Found,Thread Group 1-5,text,true,,259,155,2,2,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,275,0,0
1733925137499,401,Search Flights-1,200,OK,Thread Group 1-5,text,true,,7245,155,2,2,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,393,0,0
1733925139399,709,Select Flight,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,294,0,0
1733925139399,294,Select Flight-0,302,Found,Thread Group 1-4,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,294,0,0
1733925139693,415,Select Flight-1,200,OK,Thread Group 1-4,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,388,0,0
1733925133698,1420,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-4,,false,,14450,660,2,2,null,590,4990,0
1733925140780,677,Select Flight,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,288,0,0
1733925140780,288,Select Flight-0,302,Found,Thread Group 1-5,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,288,0,0
1733925141068,389,Select Flight-1,200,OK,Thread Group 1-5,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,384,0,0
1733925136223,1353,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-5,,false,,14450,660,1,1,null,563,3881,0
